Gene.symbol	Gene.title	adj.P.Val	logFC
MPDZ	multiple PDZ domain crumbs cell polarity complex component	4.28856357328625e-35	-3.64197399061539
PRKG2	protein kinase, cGMP-dependent, type II	4.68171095534452e-29	-5.77346719923077
CHRM3	cholinergic receptor muscarinic 3	4.42888339864818e-27	-4.35608072115385
HLF	HLF, PAR bZIP transcription factor	1.44098258527083e-23	-4.37970611920513
FREM1	FRAS1 related extracellular matrix 1	7.6534063932717e-23	-3.41493267933333
NKAIN2	Na+/K+ transporting ATPase interacting 2	4.15052147656704e-22	-4.66500179292308
NAP1L3	nucleosome assembly protein 1 like 3	7.05318953908147e-19	-4.05402767848718
PLCB4	phospholipase C beta 4	8.14641280814999e-18	-3.52703498207693
PBX1	PBX homeobox 1	1.10442107650674e-17	-4.20020784774359
SGIP1	SH3 domain GRB2 like endophilin interacting protein 1	1.13729448247441e-17	-2.27473809638462
		1.55544517046769e-17	-2.61297012028205
CRHBP	corticotropin releasing hormone binding protein	1.55544517046769e-17	-4.52015779969231
SGCZ	sarcoglycan zeta	6.25791503423269e-17	-1.93795340371795
EMCN	endomucin	3.78404826350744e-16	-2.44657727507692
FAT4	FAT atypical cadherin 4	4.79267609776914e-16	-1.76418848182051
ST6GAL2	ST6 beta-galactoside alpha-2,6-sialyltransferase 2	4.5512432031069e-15	-2.08638787733333
FYB	FYN binding protein	9.1668192847095e-14	4.60565829371795
LIMCH1	LIM and calponin homology domains 1	1.2234032989698e-13	-2.30152761097436
RPS6KA6	ribosomal protein S6 kinase A6	1.31057355399456e-13	-2.28559082658974
DTX3	deltex E3 ubiquitin ligase 3	1.57589320242058e-13	-1.9589557595641
HFM1	HFM1, ATP dependent DNA helicase homolog	3.38019848570871e-13	-1.67639215371795
PRKG1	protein kinase, cGMP-dependent, type I	3.49424460994913e-13	-1.94642644012821
HTR1F	5-hydroxytryptamine receptor 1F	8.14444700612243e-13	-4.64667737248718
RNF150	ring finger protein 150	1.17960934135063e-12	-2.15222017738462
ELN	elastin	2.71228235769407e-12	-1.88273685284615
TLR2	toll like receptor 2	4.81237069263046e-12	3.34616391246154
ADGRG6	adhesion G protein-coupled receptor G6	4.81237069263046e-12	-4.61047195912821
BEX2	brain expressed X-linked 2	6.43948771557596e-12	-2.58289688458975
PDE3B	phosphodiesterase 3B	6.43948771557596e-12	3.69850859602564
PRKCD	protein kinase C delta	6.43948771557596e-12	2.96008773089744
CDH7	cadherin 7	8.01666976785383e-12	-1.75686349223077
PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	8.61872575000183e-12	-4.20840243251282
CEP126	centrosomal protein 126	1.18070638304125e-11	-2.68633344551282
SPOCK3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3	1.67450939311533e-11	-1.98791693882051
		2.4999700816152e-11	-2.95542860482051
CNN3	calponin 3	2.97025947089483e-11	-3.35641989474359
NUDT11	nudix hydrolase 11	3.43445759904017e-11	-3.07141455384615
LRCH2	leucine rich repeats and calponin homology domain containing 2	6.42625719504415e-11	-2.05060721023077
VWDE	von Willebrand factor D and EGF domains	1.8967777991172e-10	-3.48532218625641
PDZD2	PDZ domain containing 2	2.21031773586983e-10	-2.39926539402564
		2.79474640938312e-10	-2.57291683269231
TREM1	triggering receptor expressed on myeloid cells 1	3.2985696217626e-10	4.71258924761538
		3.7523395066733e-10	-3.14749682658974
ELAC2///HMGA2///HMGA2	elaC ribonuclease Z 2///high mobility group AT-hook 2///high mobility group AT-hook 2	4.21641350342721e-10	-2.249697757
SLC22A17	solute carrier family 22 member 17	9.33922492524146e-10	-1.8911478865641
